商家名,商圈,类型,评分,城市,人均价格
成,都
苗乡楼贵州菜,高新区,贵州菜|黔菜,7.8999999999999995,成都,86
山东老家,骡马市,鲁菜,8.366666666666665,成都,128
潮汕蚝烙,八宝街,福建菜,7.733333333333334,成都,19
马忠资格烤羊肉,双楠,西北民间菜,7.766666666666667,成都,45
天赋河套会馆,高新区,西北民间菜,7.966666666666666,成都,56
三星老院子柴火鸡,大学城,贵州菜|黔菜,8.8,成都,0
羅锅·烙锅,府南新区,贵州菜|黔菜,7.166666666666667,成都,60
西匠人,双楠,西北民间菜,7.633333333333333,成都,23
蜀缘轩,金牛区,徽菜,7.2,成都,0
張郎西北王,荷花池,西北民间菜,7.133333333333333,成都,57
漠北烤羊肉,塔子山公园,西北民间菜,7.5,成都,68
味斗琳攀枝花羊肉米线,府南新区,贵州菜|黔菜,7.266666666666667,成都,15
西北楼牛肉面,高新区,陕菜,7.366666666666667,成都,23
秦时明月西北特色餐厅,华阳,西北民间菜,6.933333333333334,成都,67
西北杂粮筐,欢乐谷,西北民间菜,7.266666666666666,成都,23
唐餐廳,青羊宫,西藏菜,7.466666666666666,成都,63
老蕃享西北菜,高新区,西北民间菜,7.466666666666666,成都,26
西域伊品餐厅,青龙街/八宝街,西北民间菜,7.233333333333333,成都,0
胡记苗寨竹笋鸡,双桥子,贵州菜|黔菜,7.266666666666667,成都,69
八叶蒙古吧,武侯祠,内蒙菜,7.333333333333333,成都,116
阿妈藏餐,武侯祠,西藏菜,7.333333333333333,成都,59
刘三姐陕西手工面,太升路/春熙路,西北民间菜,7.3,成都,15
卓玛拉藏吧,高升桥,西藏菜,7.533333333333334,成都,80
蛋包洋芋,十里店,贵州菜|黔菜,7.366666666666667,成都,8
关中老碗,高新西区,陕菜,7.099999999999999,成都,17
山東會館,金沙,鲁菜,7.133333333333333,成都,0
陇右·西北风味,九眼桥,西北民间菜,7.566666666666666,成都,19
陕西风味小吃,高升桥,陕菜,7.366666666666667,成都,14
阿拉姜色藏餐,都江堰其他,西藏菜,6.900000000000001,成都,0
醪糟肉分店,郫筒,贵州菜|黔菜,7.333333333333333,成都,24
老马精致烤羊肉,高新区,西北民间菜,7.1000000000000005,成都,80
德明烧菜馆,东升镇,江西菜,7.2,成都,36
老蕃享fan shared,高新区,西北民间菜,7.166666666666667,成都,0
原生态连锅庄,红光,徽菜,6.933333333333334,成都,42
贵州酸汤鱼,火车站,贵州菜|黔菜,7.099999999999999,成都,0
老蕃亭西北浓汤手工拉面 ,高新区,西北民间菜,7.533333333333334,成都,28
阿佳拉藏餐,武侯祠,西藏菜,7.5,成都,67
血站大盘鸡,西南石油大学,西北民间菜,7.266666666666667,成都,32
哈三资格烤羊肉串,中坝/青羊万达,西北民间菜,7.300000000000001,成都,58
三倒拐烧菜馆,万达广场,江西菜,7.166666666666667,成都,24
格萨尔藏餐吧,武侯祠,西藏菜,7.300000000000001,成都,57
瓦罐煨汤,玉林,江西菜,7.2,成都,19
二姐贵阳857烙锅,四川农业大学/温江校区,贵州菜|黔菜,7.933333333333334,成都,37
雅拉卓藏餐吧,营门口,西藏菜,7.166666666666667,成都,59
贵州笋子芋儿鸡兔,龙潭寺,贵州菜|黔菜,7.466666666666666,成都,36
老红原藏餐厅,武侯祠,西藏菜,7.433333333333334,成都,0
